"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2026","79.45","79.45","79.45","79.45","","0.00%"
"06/29/2026","79.45","79.45","79.45","79.45","","0.30%"
"06/26/2026","79.21","79.21","79.21","79.21","","-0.57%"
"06/25/2026","79.67","79.67","79.67","79.67","","0.19%"
"06/24/2026","79.52","79.52","79.52","79.52","","-0.90%"
"06/23/2026","80.24","80.24","80.24","80.24","","-0.15%"
"06/22/2026","80.35","80.35","80.35","80.35","","-1.15%"
"06/18/2026","81.29","81.29","81.29","81.29","","-0.01%"
"06/17/2026","81.29","81.29","81.29","81.29","","0.79%"
"06/16/2026","80.66","80.66","80.66","80.66","","-4.24%"
"06/15/2026","84.23","84.23","84.23","84.23","","-3.10%"
"06/12/2026","86.93","86.93","86.93","86.93","","-2.04%"
"06/11/2026","88.74","88.74","88.74","88.74","","-1.27%"
"06/10/2026","89.88","89.88","89.88","89.88","","0.55%"
"06/09/2026","89.39","89.39","89.39","89.39","","-1.96%"
"06/08/2026","91.17","91.17","91.17","91.17","","0.78%"
"06/05/2026","90.46","90.46","90.46","90.46","","-2.88%"
"06/04/2026","93.14","93.14","93.14","93.14","","-2.52%"
"06/03/2026","95.55","95.55","95.55","95.55","","1.75%"
"06/02/2026","93.91","93.91","93.91","93.91","","1.72%"
"06/01/2026","92.32","92.32","92.32","92.32","","-10.49%"
"05/29/2026","103.15","103.15","103.15","103.15","","0.59%"
"05/28/2026","102.54","102.54","102.54","102.54","","0.41%"
"05/27/2026","102.12","102.12","102.12","102.12","","-0.45%"
"05/26/2026","102.59","102.59","102.59","102.59","","-0.74%"
"05/22/2026","103.36","103.36","103.36","103.36","","0.42%"
"05/21/2026","102.92","102.92","102.92","102.92","","-0.38%"
"05/20/2026","103.31","103.31","103.31","103.31","","-1.92%"
"05/19/2026","105.34","105.34","105.34","105.34","","-0.42%"
"05/18/2026","105.78","105.78","105.78","105.78","","1.33%"
"05/15/2026","104.40","104.40","104.40","104.40","","1.75%"
"05/14/2026","102.61","102.61","102.61","102.61","","0.25%"
"05/13/2026","102.35","102.35","102.35","102.35","","-1.36%"
"05/12/2026","103.76","103.76","103.76","103.76","","3.03%"
"05/11/2026","100.70","100.70","100.70","100.70","","3.20%"
"05/08/2026","97.58","97.58","97.58","97.58","","1.47%"
"05/07/2026","96.17","96.17","96.17","96.17","","-1.47%"
"05/06/2026","97.60","97.60","97.60","97.60","","-6.64%"
"05/05/2026","104.54","104.54","104.54","104.54","","-2.24%"
"05/04/2026","106.93","106.93","106.93","106.93","","6.02%"
"05/01/2026","100.86","100.86","100.86","100.86","","-4.58%"
"04/30/2026","105.70","105.70","105.70","105.70","","0.00%"
"04/29/2026","105.69","105.69","105.69","105.69","","0.14%"
"04/28/2026","105.55","105.55","105.55","105.55","","-0.40%"
"04/27/2026","105.97","105.97","105.97","105.97","","-0.02%"
"04/24/2026","105.99","105.99","105.99","105.99","","-0.06%"
"04/23/2026","106.05","106.05","106.05","106.05","","0.91%"
"04/22/2026","105.10","105.10","105.10","105.10","","2.16%"
"04/21/2026","102.88","102.88","102.88","102.88","","1.20%"
"04/20/2026","101.65","101.65","101.65","101.65","","1.20%"
"04/17/2026","100.45","100.45","100.45","100.45","","-4.28%"
"04/16/2026","104.93","104.93","104.93","104.93","","-0.55%"
"04/15/2026","105.51","105.51","105.51","105.51","","2.43%"
"04/14/2026","103.01","103.01","103.01","103.01","","-2.39%"
"04/13/2026","105.53","105.53","105.53","105.53","","4.74%"
"04/10/2026","100.75","100.75","100.75","100.75","","-1.90%"
"04/09/2026","102.70","102.70","102.70","102.70","","-1.39%"
"04/08/2026","104.15","104.15","104.15","104.15","","-12.52%"
"04/07/2026","119.05","119.05","119.05","119.05","","-1.15%"
"04/06/2026","120.43","120.43","120.43","120.43","","2.71%"
"04/03/2026","117.25","117.25","117.25","117.25","","0.00%"
"04/02/2026","117.25","117.25","117.25","117.25","","11.53%"
"04/01/2026","105.13","105.13","105.13","105.13","","-18.21%"
"03/31/2026","128.52","128.52","128.52","128.52","","0.01%"
"03/30/2026","128.51","128.51","128.51","128.51","","0.02%"
"03/27/2026","128.49","128.49","128.49","128.49","","-1.16%"
"03/26/2026","129.99","129.99","129.99","129.99","","-0.72%"
"03/25/2026","130.93","130.93","130.93","130.93","","-1.99%"
"03/24/2026","133.60","133.60","133.60","133.60","","1.23%"
"03/23/2026","131.97","131.97","131.97","131.97","","-1.57%"
"03/20/2026","134.07","134.07","134.07","134.07","","-2.72%"
"03/19/2026","137.82","137.82","137.82","137.82","","1.03%"
"03/18/2026","136.42","136.42","136.42","136.42","","11.05%"
"03/17/2026","122.84","122.84","122.84","122.84","","-5.43%"
"03/16/2026","129.90","129.90","129.90","129.90","","1.59%"
"03/13/2026","127.86","127.86","127.86","127.86","","3.91%"
"03/12/2026","123.06","123.06","123.06","123.06","","8.37%"
"03/11/2026","113.55","113.55","113.55","113.55","","8.00%"
"03/10/2026","105.13","105.13","105.13","105.13","","-2.25%"
"03/09/2026","107.55","107.55","107.55","107.55","","8.48%"
"03/06/2026","99.14","99.14","99.14","99.14","","11.01%"
"03/05/2026","89.31","89.31","89.31","89.31","","10.11%"
"03/04/2026","81.11","81.11","81.11","81.11","","0.90%"
"03/03/2026","80.39","80.39","80.39","80.39","","5.04%"
"03/02/2026","76.53","76.53","76.53","76.53","","11.88%"
