"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2026","69.01","69.96","70.26","69.01","0.18K","-1.05%"
"06/29/2026","69.74","68.49","69.74","68.28","0.22K","3.69%"
"06/26/2026","67.26","68.70","68.70","66.34","0.99K","-3.24%"
"06/25/2026","69.51","66.79","69.51","66.59","1.12K","2.92%"
"06/24/2026","67.54","69.71","69.71","67.12","0.67K","-3.00%"
"06/23/2026","69.63","69.64","70.39","69.22","0.17K","-1.64%"
"06/22/2026","70.79","72.06","72.24","70.30","0.44K","-3.86%"
"06/19/2026","73.63","73.68","73.68","72.88","0.09K","-0.41%"
"06/18/2026","73.93","72.42","73.93","71.02","0.30K","-0.51%"
"06/17/2026","74.31","71.41","76.92","71.29","0.65K","3.48%"
"06/16/2026","71.81","73.75","74.10","71.56","0.59K","-7.02%"
"06/15/2026","77.23","78.26","78.26","76.81","0.81K","-6.97%"
"06/12/2026","83.02","86.20","86.21","80.97","0.76K","-4.85%"
"06/11/2026","87.25","89.99","89.99","86.29","0.77K","-3.04%"
"06/10/2026","89.99","87.92","89.99","87.40","0.52K","1.98%"
"06/09/2026","88.24","91.64","91.65","87.88","0.60K","-3.98%"
"06/08/2026","91.90","94.15","94.15","90.95","0.76K","1.35%"
"06/05/2026","90.68","92.95","92.95","90.68","0.50K","-3.02%"
"06/04/2026","93.50","96.11","96.15","92.67","0.73K","-3.78%"
"06/03/2026","97.17","98.20","98.27","97.04","0.55K","1.12%"
"06/02/2026","96.09","93.42","96.19","93.36","1.69K","1.76%"
"06/01/2026","94.43","92.84","96.78","92.84","0.81K","4.86%"
"05/29/2026","90.05","89.65","90.22","88.76","0.58K","-0.03%"
"05/28/2026","90.08","89.60","90.58","89.03","0.29K","2.46%"
"05/27/2026","87.92","89.67","89.95","87.19","0.62K","-4.69%"
"05/26/2026","92.25","91.83","93.03","91.36","0.36K","2.85%"
"05/25/2026","89.69","94.80","94.95","89.69","0.21K","-12.25%"
"05/22/2026","102.21","103.80","103.80","100.35","0.25K","0.06%"
"05/21/2026","102.15","103.37","106.98","102.15","1.16K","-1.04%"
"05/20/2026","103.22","106.14","106.65","102.50","1.60K","-3.85%"
"05/19/2026","107.35","106.62","107.65","105.92","0.31K","-0.87%"
"05/18/2026","108.29","108.42","108.42","104.44","1.00K","0.27%"
"05/15/2026","108.00","107.80","108.08","106.31","0.83K","3.15%"
"05/14/2026","104.70","105.00","105.93","103.51","2.12K","0.53%"
"05/13/2026","104.15","104.64","106.18","104.15","1.47K","-1.75%"
"05/12/2026","106.00","105.18","106.26","104.92","0.57K","2.32%"
"05/11/2026","103.60","101.75","103.60","100.70","0.99K","4.84%"
"05/08/2026","98.82","96.71","99.35","96.54","0.93K","2.23%"
"05/07/2026","96.66","95.09","96.85","93.18","0.72K","-1.66%"
"05/06/2026","98.29","103.00","103.71","96.68","1.14K","-7.25%"
"05/05/2026","105.97","107.67","107.85","105.50","1.45K","-1.24%"
"05/04/2026","107.30","104.81","107.30","101.72","0.94K","3.41%"
"05/01/2026","103.76","106.70","106.88","103.76","0.38K","-3.94%"
"04/30/2026","108.02","110.40","111.10","105.12","0.03K","0.70%"
"04/29/2026","107.27","103.52","108.00","103.52","0.42K","3.01%"
"04/28/2026","104.14","104.31","104.72","103.89","0.18K","2.11%"
"04/27/2026","101.99","102.55","102.55","101.27","0.15K","1.87%"
"04/24/2026","100.12","102.18","102.31","99.12","0.07K","-5.50%"
"04/23/2026","105.95","107.12","107.12","104.29","0.30K","2.74%"
"04/22/2026","103.12","99.44","103.12","99.44","0.84K","7.09%"
"04/21/2026","96.29","92.66","96.29","92.17","1.06K","3.49%"
"04/20/2026","93.04","94.41","94.41","91.08","0.57K","1.46%"
"04/17/2026","91.70","101.32","101.73","90.00","1.84K","-9.80%"
"04/16/2026","101.66","100.63","101.66","100.28","0.45K","0.80%"
"04/15/2026","100.85","101.50","101.73","100.53","0.40K","0.00%"
"04/14/2026","100.85","102.74","103.61","100.60","0.76K","-2.40%"
"04/13/2026","103.33","106.00","106.49","102.87","0.57K","5.27%"
"04/10/2026","98.16","100.24","100.24","97.97","0.40K","-1.47%"
"04/09/2026","99.62","101.95","102.10","99.62","0.73K","2.03%"
"04/08/2026","97.64","106.51","106.51","94.38","0.47K","-18.13%"
